Shipment-Data,Shipment-ID,FC-State,Date,Cost,MSKU,ASIN,Qty
 ,FBA16MXL429S,SMF6,03-24-2022, ,LG-GRAM-16-I71165G7-16G512G-WH-SL,B09S3347W1,5
 ,FBA16RZ9W7HR,MDT1,07-05-2022, ,ASUS-MON-EYECARE-VP32UQ,B096PNMSQZ,7
 ,FBA16RZ9W7HR,MDT1,07-05-2022, ,DYSON-VAC-V11-298706-01,B084B9NX7Q,15
 ,FBA16RZ9W7HR,MDT1,07-05-2022, ,DYSON-VAC-V15-368340-01,B0979R48CX,66
 ,FBA16RZ9W7HR,MDT1,07-05-2022, ,FILTRETE-FILTER-EA23-2PK-1E,B07CSVRD69,13
 ,FBA16RZ9W7HR,MDT1,07-05-2022, ,SHARK-VAC-NV356E-S2-NLP-WHT/SLV,B005KMDV9A,20
 ,FBA16RZ9W7HR,MDT1,07-05-2022, ,VIZIO-SOUNDBAR-M512A-H6,B08TV6GJF7,27
 ,FBA16QR0HX0V,DET2,05-30-2022, ,ASUS-MON-VP349CGL,B09G94PTZR,16
 ,FBA16NTQ8838,IND2,04-18-2022, ,ACER-ASPIRE-TC-I510400-FC0A0-2,B0983VYC6V,13
 ,FBA16NTQ8838,IND2,04-18-2022, ,LG-GRAM-15-I51135G7-BC0-WP-32G,B09F4T68FZ,6
 ,FBA16NTQ8838,IND2,04-18-2022, ,LG-MON-27GP750-B,B09D914618,2
 ,FBA16HJB7Y98,MDT1,11-26-2021, ,LENOVO-TPE15-I510210U16G1T-WP-GMACC,B089CRD862,3
 ,FBA16L64KCWC,DEN8,02-10-2022, ,ASUS-SCAR-15-R95900HX-32G1T-3080-WH,B096VBDK9K,1
 ,FBA16L64KCWC,DEN8,02-10-2022, ,LG-MON-32UN650-W,B08FQ42MN1,1
 ,FBA16L64KCWC,DEN8,02-10-2022, ,MSI-KYBD-VIGOR-GK50-LP-US,B07ZLF8SHW,25
 ,FBA16RMXSLPP,MCO2,06-22-2022, ,ASUS-MON-VP349CGL,B09G94PTZR,17
 ,FBA16K0M4H18,PIT2,01-10-2022, ,LENOVO-YOGA-9i-14-i71185G716G1T-WH-SLV-2,B08VYLX37X,2
 ,FBA16K0M4H18,PIT2,01-10-2022, ,MSI-KYBD-VIGOR-GK50-LP-US,B07ZLF8SHW,17
 ,FBA16RD7QYD9,GSO1,06-13-2022, ,ASUS-MON-VP349CGL,B09G94PTZR,17
 ,FBA16M5TKT6K,ABE4,03-08-2022, ,LG-GRAM-17-I71195G7-16G512G-WH-LNO,B09S3FP4VR,1
 ,FBA16L7B8WB4,BWI4,02-11-2022, ,LG-GRAM-17-I71165G7-16G512G-WH,B09CT9QRFD,4
 ,FBA16L7B8WB4,BWI4,02-11-2022, ,LG-GRAM-17-I71195G7-16G512G-WH,B09S3FP4VR,1
 ,FBA16QHQVGN5,OAK3,05-26-2022, ,ASUS-MON-EYECARE-VP32UQ,B096PNMSQZ,10
 ,FBA16RM3126N,TEB3,06-21-2022, ,ASUS-MON-EYECARE-VP32UQ,B096PNMSQZ,24
 ,FBA16PSTYSSK,DET1,05-11-2022, ,LG-GRAM-16-I71165G7-16G512G-WH-SL,B09S3347W1,2
 ,FBA16R7HWKNT,JAX3,06-09-2022, ,LG-GRAM-15-I51135G7-16G512G-WH,B09L8JYBL1,3
 ,FBA16R7HWKNT,JAX3,06-09-2022, ,LG-GRAM-15-I51135G7-BC0-WH-32G,B09CKVSM3H,1
 ,FBA16R7HWKNT,JAX3,06-09-2022, ,LG-GRAM-17-I71165G7-16G512G-WH,B09CT9QRFD,2
 ,FBA16R7HWKNT,JAX3,06-09-2022, ,LG-GRAM-17-I71195G7-16G512G-WH,B09S3FP4VR,1
 ,FBA16R7HWKNT,JAX3,06-09-2022, ,SAMSUNG-MON-32-M7-LS32AM702UNXZA-LNO,B08JXG2518,1
