Shipment ID	FBA16S1HGYSK
Name	FBA STA (07/07/2022 22:02)-GYR2
Plan ID	
Ship To	GYR2
Total SKUs	10
Total Units	588

Merchant SKU	Title	ASIN	FNSKU	external-id 	Condition	Who will prep?	Prep Type	Who will label?	Shipped
ARLO-CAM-VMC2040-100NAS-WHT	Arlo Essential Indoor Camera - 1080p Video with Privacy Shield, Plug-in, Night Vision, 2-Way Audio, Siren, Direct to WiFi No Hub Needed, Wireless Security, White - VMC2040	B08WFJKK2T	X003ATPRU7	UPC: 193108141284	New	No prep required	"--"	Merchant	60
ARLO-CAM-VMC2040B-100NAS-BLK	Arlo Essential Indoor Camera - 1080p Video with Privacy Shield, Plug-in, Night Vision, 2-Way Audio, Siren, Direct to WiFi No Hub Needed, Wireless Security, Black - VMC2040B	B08WDRDRNX	X003B3R86N	UPC: 193108141727	New	No prep required	"--"	Merchant	18
ARLO-CAM-VMC4050B-100NAS-BLK	Arlo Pro 4 Spotlight Camera - 1 Pack - Wireless Security, 2K Video & HDR, Color Night Vision, 2 Way Audio, Wire-Free, Direct to WiFi No Hub Needed, Black - VMC4050B	B08L74BYS9	X003ATD60P	UPC: 193108142274	New	No prep required	"--"	Merchant	28
ARLO-CAM-VMC4050P-100NAS-WHT	Arlo Pro 4 Spotlight Camera - 1 Pack - Wireless Security, 2K Video & HDR, Color Night Vision, 2 Way Audio, Wire-Free, Direct to WiFi No Hub Needed, White - VMC4050P	B08L746NXW	X003ATD21X	UPC: 193108140911	New	No prep required	"--"	Merchant	148
ARLO-CAM-VMC4250B-100NAS-2PK-BLK	Arlo Pro 4 Spotlight Camera - 2 Pack - Wireless Security, 2K Video & HDR, Color Night Vision, 2 Way Audio, Wire-Free, Direct to WiFi No Hub Needed, Black - VMC4250B	B092RSNGTY	X003ATD2JF	UPC: 193108143264	New	No prep required	"--"	Merchant	12
ARLO-CAM-VMC4350P-100NAS-3PK-WHT	Arlo Pro 4 Spotlight Camera - 3 Pack - Wireless Security, 2K Video & HDR, Color Night Vision, 2 Way Audio, Wire-Free, Direct to WiFi No Hub Needed, White - VMC4350P	B08L75YWZK	X003ATCZST	UPC: 193108142328	New	No prep required	"--"	Merchant	80
ARLO-CHAR-VMA5600C-100NAS-WHT	Arlo Outdoor Magnetic Charging Cable - Arlo Certified Accessory - 25 ft, Weather Resistant Connector, Works with Arlo Ultra, Ultra 2, Pro 3, Pro 4 and Pro 3 Floodlight Cameras, White - VMA5600C	B07KJVBHMP	X003ATD2XV	UPC: 606449138412	New	No prep required	"--"	Merchant	42
ARLO-DOORBELL-AVD1001-100NAS	Arlo Essential Wired Video Doorbell - HD Video, 180° View, Night Vision, 2 Way Audio, Direct to Wi-Fi No Hub Needed, Easy Installation (existing doorbell wiring required), White - AVD1001	B07YMV9VMT	X0033T0M9Z	UPC: 193108139779	New	No prep required	"--"	Merchant	12
ARLO-DOORBELL-AVD2001B-100NAS-BLK	Arlo Essential Wire-Free Battery Operated Video Doorbell - HD Video, 180° View, Night Vision, 2 Way Audio, Direct to Wi-Fi No Hub Needed, Black - AVD2001B	B08SY8YJCB	X003ATHA6V	UPC: 193108142120	New	No prep required	"--"	Merchant	88
NETGEAR-ROUTER-NIGHTHAWK-MR1100-100NAS	NETGEAR Nighthawk M1 4G LTE WiFi Mobile Hotspot (MR1100-100NAS) – Up to 1Gbps Speed, Works Best with AT&T and T-Mobile, Connects Up to 20 Devices, Secure Wireless Network Anywhere	B07G5KWZ3H	X003B0OXIH	UPC: 606449136739	New	No prep required	"--"	Merchant	100
