Shipment ID	FBA16S7RS1FQ
Name	FBA STA (07/14/2022 18:51)-TPA2
Plan ID	
Ship To	TPA2
Total SKUs	3
Total Units	53

Merchant SKU	Title	ASIN	FNSKU	external-id 	Condition	Who will prep?	Prep Type	Who will label?	Shipped
FILTRETE-FILTER-EA23-2PK-1E	Filtrete 14x24x1, AC Furnace Air Filter, MPR 2200, Healthy Living Elite Allergen, 2-Pack (exact dimensions 14.375 x 23.84 x 0.783)	B07CSVRD69	X003AWBDON	UPC: 638060188040	New	No prep required	"--"	Merchant	13
INSTANTPOT-OVEN-OMNIPLUS-140-4002-01	Instant Omni Plus 19 QT/18L Air Fryer Toaster Oven Combo, From the Makers of Instant Pot, 10-in-1 Functions, Fits a 12" Pizza, 6 Slices of Bread, App with Over 100 Recipes, Stainless Steel	B08PL327W4	X0039ZH0YD	UPC: 810028581890	New	No prep required	"--"	Merchant	35
LIQUIDIV-ENRGY-POWDER-16-LEMONGING-12PK	Liquid I.V. Energy Multiplier | Energy Powder Drink Sticks | Matcha and Green Energy Blend Drink Mix | Natural Caffeine | Easy Open Single-Serving Stick | Non-GMO | Lemon Ginger | 168 Sticks	B0854NQVVY	X003BCSNEP	--	New	No prep required	"--"	Merchant	5
