Shipment ID	FBA16S81HBNV
Name	07-14-2022 05-22-PM
Plan ID	
Ship To	GYR2
Total SKUs	13
Total Units	70

Merchant SKU	Title	ASIN	FNSKU	external-id 	Condition	Who will prep?	Prep Type	Who will label?	Shipped
BOSS-AUDIO-BV9358B-RADIO-RECEIVER-LNO	BOSS Audio Systems BV9358B Car DVD Player - Double Din, Bluetooth Audio and Calling, 6.2 Inch LCD Touchscreen Monitor, MP3 Player, CD, DVD, WMA, USB, SD, Auxiliary Input, AM FM Radio Receiver	B01FC3SPPG	X0037QRABR	UPC: 791489124188	Used - Like New	No prep required	"--"	Merchant	1
BOSS-AUDIO-MCBK520B-MCYCLE-SPKRS-LNO	BOSS Audio Systems MCBK520B Motorcycle Speaker and Amplifier Sound System - Bluetooth, Weatherproof, 3 inch Speakers, 2 Channel Amplifier, FM Tuner, USB, SD, Chrome, One Size (MC520B)	B01DT4P7TM	X0038B4UGT	UPC: 791489124348	Used - Like New	No prep required	"--"	Merchant	2
GGBT-PCIE-GC-MAPLE-RIDGE	GIGABYTE GC-MAPLE RIDGE (Intel/Thunderbolt 4/ JHL 8540 Controller/ 2x USB Type-C/ 1x DisplayPort 1.4/ 2x Mini DisplayPort/ Max Bandwidth 40GB/s/ PCle Card)	B083HZHP62	X0038AWSI7	--	New	No prep required	"--"	Merchant	8
INTEL-CPU-I57600K-BX80677I57600K	Intel Core i5-7600K LGA 1151 Desktop Processors (BX80677I57600K)	B01MRRPPQS	X002V5BR37	UPC: 715663066279	New	No prep required	"--"	Merchant	1
INTEL-CPU-I58400-BX80684I58400	Intel Core i5-8400 Desktop Processor 6 Cores up to 4.0 GHz LGA 1151 300 Series 65W	B0759FGJ3Q	X002W4RZWT	UPC: 735858350488	New	No prep required	"--"	Merchant	6
INTEL-CPU-I75820K-BX80648I75820K-LNO	Intel Core i7-5820K Desktop Processor (6-Cores, 3.3GHz, 15MB Cache, Hyper-Threading Technology)	B00MMLXIKY	X003AK1S0T	UPC: 779184137368	Used - Like New	No prep required	"--"	Merchant	1
INTEL-CPU-I99900KF-BX80684I99900KF	Intel BX80684I99900KF Intel Core i9-9900KF Desktop Processor 8 Cores up to 5.0 GHz Turbo Unlocked Without Processor Graphics LGA1151 300 Series 95W	B07MGBZWDZ	X002OKJP4H	UPC: 735858407823	New	No prep required	"--"	Merchant	20
MOTOROLA-MODEM-ROUTER-COMBO-MG8702	Motorola MG8702 | DOCSIS 3.1 Cable Modem + Wi-Fi Router (High Speed Combo) with Intelligent Power Boost | AC3200 Wi-Fi Speed | Approved for Comcast Xfinity, Cox, and Charter Spectrum	B08DL4QB25	X003B0N9BJ	UPC: 855631006613	New	No prep required	"--"	Merchant	2
PNY-SSD-SSD7CS900-120-RB	PNY CS900 120GB 3D NAND 2.5" SATA III Internal Solid State Drive (SSD) - (SSD7CS900-120-RB)	B0722XPTL6	X003A41YN1	UPC: 751492597843	New	No prep required	"--"	Merchant	7
TRENDNET-SWITCH-TI-PG102	TRENDnet 10-Port Industrial Gigabit PoE+ DIN-Rail Switch, 8 x Gigabit PoE+ Ports, DIN-Rail Mount, 2 x SFP Slots, 240W PoE Power Budget, Network Switch, IP30, QoS, Lifetime Protection, Black, TI-PG102	B01MZ1R14X	X003B2HAM1	UPC: 710931160932	New	No prep required	"--"	Merchant	1
WD-HDD-RED-PLUS-WD101EFAX-10TB	Western Digital 10TB WD Red Plus NAS Internal Hard Drive HDD - 5400 RPM, SATA 6 Gb/s, CMR, 256 MB Cache, 3.5" - WD101EFAX	B083JXTH5L	X0036F5E4T	UPC: 718037866758	New	No prep required	"--"	Merchant	8
WD-HDD-RED-PLUS-WD140EFFX-14TB	Western Digital 14TB WD Red Plus NAS Internal Hard Drive HDD - 5400 RPM, SATA 6 Gb/s, CMR, 512 MB Cache, 3.5" - WD140EFFX	B07YFGMZVV	X0036R1IMT	UPC: 718037872841	New	No prep required	"--"	Merchant	8
WD-HDD-RED-PLUS-WD40EFRX-4TB	Western Digital 4TB WD Red Plus NAS Internal Hard Drive HDD - 5400 RPM, SATA 6 Gb/s, CMR, 64 MB Cache, 3.5" - WD40EFRX	B00EHBERSE	X0039SE02Z	UPC: 718037810058	New	No prep required	"--"	Merchant	5
