Shipment ID	FBA16SD144JF
Name	07-19-2022 04-39-PM
Plan ID	
Ship To	PHL5
Total SKUs	14
Total Units	64

Merchant SKU	Title	ASIN	FNSKU	external-id 	Condition	Who will prep?	Prep Type	Who will label?	Shipped
DYSON-VAC-V10-226319-01	Dyson Cyclone V10 Animal Lightweight Cordless Stick Vacuum Cleaner	B0798LCJK9	X003BB67TT	UPC: 769498247433	New	No prep required	"--"	Merchant	15
NINJA-BLENDER-BL770-MKS-BLK	Ninja BL770 Mega Kitchen System, 1500W, 4 Functions for Smoothies, Processing, Dough, Drinks & More, with 72-oz.* Blender Pitcher, 64-oz. Processor Bowl, (2) 16-oz. To-Go Cups & (2) Lids, Black	B00939I7EK	X00377XAJR	UPC: 622356532419	New	No prep required	"--"	Merchant	5
NINJA-BLENDER-BN401-NUTRI-PRO-SLV	Ninja BN401 Nutri Pro Compact Personal Blender, Auto-iQ Technology, 1100-Peak-Watts, for Frozen Drinks, Smoothies, Sauces & More, with (2) 24-oz. To-Go Cups & Spout Lids, Cloud Silver	B08QXJ31WR	X00378G2M3	UPC: 622356569446	New	No prep required	"--"	Merchant	8
NINJA-BLENDER-SS351-FOODI-SLV	Ninja SS351 Foodi Power Blender & Processor System 1400 WP Smoothie Bowl Maker & Nutrient Extractor* 6 Functions for Bowls, Spreads, Dough & More, smartTORQUE, 72-oz.** Pitcher & To-Go Cups, Silver	B08C41Q414	X0038WUSG9	UPC: 622356565080	New	No prep required	"--"	Merchant	1
NINJA-ICECREAM-NC301-RED	Ninja NC301 CREAMi Ice Cream Maker, for Gelato, Mix-ins, Milkshakes, Sorbet, Smoothie Bowls & More, 7 One-Touch Programs, with (2) Pint Containers & Lids, Compact Size, Perfect for Kids, Red	B09KSCD5HL	X003B9V59X	UPC: 622356585859	New	No prep required	"--"	Merchant	1
NINJA-ICECREAM-NC301-WHT	Ninja NC301 CREAMi Ice Cream Maker, for Gelato, Mix-ins, Milkshakes, Sorbet, Smoothie Bowls & More, 7 One-Touch Programs, with (2) Pint Containers & Lids, Compact Size, Perfect for Kids, White	B09KSCZZ4C	X003BAH39X	UPC: 622356585866	New	No prep required	"--"	Merchant	1
NINJA-PAN-CW102CP-PAPR	Ninja CW102CP Foodi NeverStick PossiblePan, Premium Set with 4-Quart Capacity Pan, Steamer/Strainer Basket, Glass Lid & Integrated Spatula, Nonstick, Durable & Oven Safe to 500°F, Smoked Paprika	B09SBVL4X9	X003BA435Z	UPC: 622356591348	New	No prep required	"--"	Merchant	1
NINJA-PAN-CW102GN-GRN	Ninja CW102GN Foodi NeverStick PossiblePan, Premium Set with 4-Quart Capacity Pan, Steamer/Strainer Basket, Glass Lid & Integrated Spatula, Nonstick, Durable & Oven Safe to 500°F, Olive Green	B09SBTRBJJ	X003BADBMV	UPC: 622356588461	New	No prep required	"--"	Merchant	1
NINJA-PAN-CW102GY-GRY	Ninja CW102GY Foodi NeverStick PossiblePan, Premium Set with 4-Quart Capacity Pan, Steamer/Strainer Basket, Glass Lid & Integrated Spatula, Nonstick, Durable & Oven Safe to 500°F, Sea Salt Grey	B09SBSD8DM	X003B9XP73	UPC: 622356591355	New	No prep required	"--"	Merchant	1
SHARK-MOP-S7001-GLD	Shark S7001 Mop, Scrub & Sanitize at The Same Time, Designed for Hard Floors, with 4 Dirt Grip Soft Scrub Washable Pads, 3 Steam Modes & LED Headlights, Gold, 13.7 in L x 6.75 in W x 46.5 in H	B08QZTSHFX	X003B8AQD5	UPC: 622356571500	New	No prep required	"--"	Merchant	6
SHARK-VAC-CH901-GRN	Shark UltraCyclone Pro Cordless Handheld Vacuum, with XL Dust Cup, Green	B08559K2DL	X003BA3S0B	UPC: 622356561426	New	No prep required	"--"	Merchant	3
SHARK-VAC-HV302-ORANGE	Shark HV302 Rocket Pet Corded Stick Vacuum, Lightweight with Swivel Steering for Carpets & Hard Floors, Converts to Hand Vacuum, Includes Crevice Tool, Pet Multi-Tool & Precision Duster, Orange	B00EUKHACW	X003BA9BYX	UPC: 622356534970	New	No prep required	"--"	Merchant	7
SHARK-VAC-IZ163H-RSP	Shark IZ163H Pet Plus Cordless Stick Vacuum with Self-Cleaning Brushroll, PowerFins, MultiFLEX, Crevice Tool & Pet Multi-Tool, 40-min Runtime, Raspberry	B088C6VTKY	X003B8AOUP	UPC: 622356565035	New	No prep required	"--"	Merchant	1
SHARK-VAC-SV1106-NAV-FUBCS-WHT/SLV	Shark SV1106 Navigator Freestyle Upright Bagless Cordless Stick Vacuum for Carpet, Hard Floor and Pet with XL Dust Cup and 2-Speed Brushroll, White/Grey	B00C351GBC	X00393PAKB	UPC: 622356533096	New	No prep required	"--"	Merchant	13
