Shipment ID	FBA16SM0W58C
Name	07-25-2022 05-33-PM
Plan ID	
Ship To	GYR2
Total SKUs	13
Total Units	22

Merchant SKU	Title	ASIN	FNSKU	external-id 	Condition	Who will prep?	Prep Type	Who will label?	Shipped
AMD-CPU-RYZEN-7-3800X-LNOB	AMD Ryzen 7 3800X 8-Core, 16-Thread Unlocked Desktop Processor with Wraith Prism LED Cooler	B07SXMZLPJ	X0034Y783H	UPC: 730143309899	New	No prep required	"--"	Merchant	1
BOSS-AUDIO-BV9358B-RADIO-RECEIVER-LNO	BOSS Audio Systems BV9358B Car DVD Player - Double Din, Bluetooth Audio and Calling, 6.2 Inch LCD Touchscreen Monitor, MP3 Player, CD, DVD, WMA, USB, SD, Auxiliary Input, AM FM Radio Receiver	B01FC3SPPG	X0037QRABR	UPC: 791489124188	Used - Like New	No prep required	"--"	Merchant	1
BOSS-AUDIO-MCBK520B-MCYCLE-SPKRS-ACC	BOSS Audio Systems MCBK520B Motorcycle Speaker and Amplifier Sound System - Bluetooth, Weatherproof, 3 inch Speakers, 2 Channel Amplifier, FM Tuner, USB, SD, Chrome, One Size (MC520B)	B01DT4P7TM	X003BT9Q8F	UPC: 791489124348	Used - Acceptable	No prep required	"--"	Merchant	2
BOSS-AUDIO-MCBK520B-MCYCLE-SPKRS-VGR	BOSS Audio Systems MCBK520B Motorcycle Speaker and Amplifier Sound System - Bluetooth, Weatherproof, 3 inch Speakers, 2 Channel Amplifier, FM Tuner, USB, SD, Chrome, One Size (MC520B)	B01DT4P7TM	X003BT37S5	UPC: 791489124348	Used - Very Good	No prep required	"--"	Merchant	1
DYSON-HAIR-DRYER-SS-IRN/FCS-LNO	Dyson Supersonic Hair Dryer, Iron/Fuchsia	B01FIG1JIM	X003BSXOFR	UPC: 885609010212	Used - Like New	No prep required	"--"	Merchant	2
GGBT-MOBO-B450-AORUS-ELITE-V2-LNOB	Gigabyte B450 AORUS Elite V2 (AMD Ryzen AM4/ATX/M.2 Thermal Guard/Hmdi/DVI/USB 3.1/DDR4/Motherboard)	B08LG2JC4B	X0032EGJZH	UPC: 889523024379	Used - Like New	No prep required	"--"	Merchant	2
GGBT-TPM-GC-TPM2.0-S	Gigabyte Motherboard Accessory GC-TPM2.0_S Bulk	B07815MJVT	X003BMSIVN	UPC: 813567025856	New	No prep required	"--"	Merchant	7
HYPERX-HDST-CLOUD-ALPHA-S-BL-LNO	HyperX Cloud Alpha S - PC Gaming Headset, 7.1 Surround Sound, Adjustable Bass, Dual Chamber Drivers, Chat Mixer, Breathable Leatherette, Memory Foam, and Noise Cancelling Microphone - Blue	B07X6HDSDY	X003589VJL	UPC: 196188048122	Used - Like New	No prep required	"--"	Merchant	1
HYPERX-HDST-CLOUD-II-WLESS-RED-LNOB	HyperX Cloud II Wireless - Gaming Headset for PC, PS4/PS5, Nintendo Switch, Long Lasting Battery Up to 30 Hours, 7.1 Surround Sound, Memory Foam, Detachable Noise Cancelling Microphone, Mic Monitoring	B08NTYB4M7	X0033VLKO9	UPC: 740617303056	Used - Like New	No prep required	"--"	Merchant	1
KIOXIA-SSD-BG4-M.2-256G-KBG40ZNS256G	Toshiba(Kioxia) 256GB PCIe NVMe 2230 SSD (KBG40ZNS256G) (OEM), 30mm	B09HY56CS4	X00395K73J	--	New	No prep required	"--"	Merchant	1
MICROSOFT-DOCK-PF3-00005	Microsoft Surface Dock (Compatible with Surface Pro 3, Surface Pro 4, and Surface Book)	B01DL4J77I	X003B3YQGX	UPC: 889842013702	New	No prep required	"--"	Merchant	1
MOTOROLA-MODEM-ROUTER-COMBO-MG8702	Motorola MG8702 | DOCSIS 3.1 Cable Modem + Wi-Fi Router (High Speed Combo) with Intelligent Power Boost | AC3200 Wi-Fi Speed | Approved for Comcast Xfinity, Cox, and Charter Spectrum	B08DL4QB25	X003B0N9BJ	UPC: 855631006613	New	No prep required	"--"	Merchant	1
PEASEC-CAM-PIWB0315-S-1080P-LNO	Solar Security Camera, Peasec 1080P PTZ Wireless Outdoor Security Camera with 355° Pan 4X Digital Zoom, Rechargeable Battery Camera with Full Color Night Vision, Human & Motion Detection Siren	B09CT55WJW	X003AWIGMF	UPC: 712858734104	Used - Like New	No prep required	"--"	Merchant	1
