Shipment ID	FBA16SNFSSM0
Name	FBA STA (07/26/2022 22:23)-GSO1
Plan ID	
Ship To	GSO1
Total SKUs	20
Total Units	255

Merchant SKU	Title	ASIN	FNSKU	external-id 	Condition	Who will prep?	Prep Type	Who will label?	Shipped
ACER-ASPIRE5-15-I51135G7-AB0A0	Acer Aspire 5 A515-56-53S3 Laptop | 15.6" Full HD IPS Display | 11th Gen Intel Core i5-1135G7 | Intel Iris Xe Graphics | 8GB DDR4 | 256GB SSD | WiFi 6 | Fingerprint Reader | BL Keyboard | Windows 11	B09J5HXWG3	X003BI76VF	UPC: 195133137638	New	No prep required	"--"	Merchant	20
ACER-DESK-PO3000-I711700F-BCAA0-3070	Acer Predator Orion 3000 PO3-630-UA91 Gaming Desktop | 11th Gen Intel Core i7-11700F 8-Core CPU | NVIDIA GeForce RTX 3070 | 16GB DDR4 | 512GB NVMe SSD | 1TB HDD | Intel Wi-Fi 6 | RGB Keyboard & Mouse	B09G3BRN7R	X003BHTUK1	UPC: 195133140720	New	No prep required	"--"	Merchant	6
DYSON-PUR-PH04-WHT/GLD	Dyson Purifier Humidify+Cool Formaldehyde - PH04 - White/Gold	B0B3F749ZJ	X003ANCMJ7	UPC: 885609022307	New	No prep required	"--"	Merchant	31
DYSON-VAC-V11-298706-01	Dyson V11 Outsize Cordless Vacuum Cleaner, Nickel/Red	B084B9NX7Q	X003AUNNMP	UPC: 885609019291	New	No prep required	"--"	Merchant	1
EVGA-MOBO-Z690-DARK-KINGPIN	EVGA Z690 Dark K|NGP|N, 121-AL-E699-KR, LGA 1700, Intel Z690, PCIe Gen5, SATA 6Gb/s, 2.5Gb/s LAN, WiFi6E/BT5.2, USB 3.2 Gen2x2, M.2, U.2, EATX, Intel Motherboard	B0B2BYFPRF	X003BFBWNV	UPC: 843368074074	New	No prep required	"--"	Merchant	2
FILTRETE-FILTER-EA23-2PK-1E	Filtrete 14x24x1, AC Furnace Air Filter, MPR 2200, Healthy Living Elite Allergen, 2-Pack (exact dimensions 14.375 x 23.84 x 0.783)	B07CSVRD69	X003AWBDON	UPC: 638060188040	New	No prep required	"--"	Merchant	26
HP-ELITEDESK-705-G4-A109700-A0JE0	HP EliteDesk 705 G4 Desktop Computer A-Series A10-9700 8GB RAM 500GB HDD Micro Tower Windows 10 Pro 64-bit Model 4HY45UT#ABA	B07F3FPJ5M	X003B9XYF1	UPC: 192545625371	New	No prep required	"--"	Merchant	1
HP-MON-PRODISPLAY-P17A	HP ProDisplay P17A 17-inch 5:4 LED Backlit Monitor	B00I8HWRD0	X003BA6RMR	UPC: 822818754629	New	No prep required	"--"	Merchant	1
NINJA-BLENDER-BL610-PRO-BLK	Ninja BL610 Professional 72 Oz Countertop Blender with 1000-Watt Base and Total Crushing Technology for Smoothies, Ice and Frozen Fruit, Black, 9.5 in L x 7.5 in W x 17 in H	B00NGV4506	X0038WOOZP	UPC: 622356536820	New	Merchant	Polybagging	Merchant	40
NINJA-BLENDER-BL770-MKS-BLK	Ninja BL770 Mega Kitchen System, 1500W, 4 Functions for Smoothies, Processing, Dough, Drinks & More, with 72-oz.* Blender Pitcher, 64-oz. Processor Bowl, (2) 16-oz. To-Go Cups & (2) Lids, Black	B00939I7EK	X00377XAJR	UPC: 622356532419	New	No prep required	"--"	Merchant	6
NINJA-BLENDER-SS151-GRY	Ninja SS151 TWISTi Blender DUO, High-Speed 1600 WP Smoothie Bowl Maker & Nutrient Extractor* 5 Functions for Smoothie Bowls, Spreads & More, smartTORQUE, 34-oz. Pitcher & (2) To-Go Cups, Gray	B09SBRGSFH	X003AN73SR	UPC: 622356589246	New	No prep required	"--"	Merchant	7
NINJA-FRY-FD401-SLV	Ninja FD401 Foodi 12-in-1 Deluxe XL 8 qt. Pressure Cooker & Air Fryer that Steams, Slow Cooks, Sears, Sautés, Dehydrates & More, with 5 qt. Crisper Basket, Deluxe Reversible Rack & Recipe Book, Silver	B07S85TPLG	X003BIJSLL	UPC: 622356558174	New	No prep required	"--"	Merchant	14
NINJA-ICECREAM-NC301-BLUE	Ninja NC301 CREAMi Ice Cream Maker, for Gelato, Mix-ins, Milkshakes, Sorbet, Smoothie Bowls & More, 7 One-Touch Programs, with (2) Pint Containers & Lids, Compact Size, Perfect for Kids, Blue	B09KT6G8NP	X003BA6WUT	UPC: 622356585842	New	No prep required	"--"	Merchant	3
