Shipment ID	FBA16JPBRQ57
Name	12-30-2021 02-59-PM
Plan ID	
Ship To	CMH2
Total SKUs	3
Total Units	4

Merchant SKU	Title	ASIN	FNSKU	external-id 	Condition	Who will prep?	Prep Type	Who will label?	Shipped
ASUS-MON-TUF-VG27AQ	ASUS TUF Gaming 27" 2K HDR Gaming Monitor (VG27AQ) - QHD (2560 x 1440), 165Hz (Supports 144Hz), 1ms, Extreme Low Motion Blur, Speaker, G-SYNC Compatible, VESA Mountable, DisplayPort, HDMI	B07WQ4FXY9	X0030X35NJ	UPC: 192876306444	New	No prep required	"--"	Merchant	2
DELL-INS-DESK-I510400-64GB2TBWHHDMI-VGOB	Flagship Dell Inspiron 3000 3880 Desktop Computer 10th Gen Intel Hexa-Core i5-10400 (Beats i7-8700T) 64GB RAM 2TB SSD Intel UHD Graphics 630 WiFi No-DVD Win10 Black	B08GKV839K	X00344S2KF	UPC: 305484521110	Used - Very Good	No prep required	"--"	Merchant	1
LENOVO-LAP-E15I510210U-16G1T-WP-LNOB	2021 Lenovo ThinkPad E15 15.6” FHD Business Laptop Computer, 10th gen Intel i5-10210U (up to 4.20GHz), 16GB RAM, 1TB SSD, WiFi HDMI Win10 Pro	B089CRD862	X00345IYTN	UPC: 782947539828	Used - Like New	No prep required	"--"	Merchant	1
