Shipment ID	FBA16L69GGZR
Name	02-10-2022 03-07-PM
Plan ID	
Ship To	ALB1
Total SKUs	3
Total Units	27

Merchant SKU	Title	ASIN	FNSKU	external-id 	Condition	Who will prep?	Prep Type	Who will label?	Shipped
ASUS-SCAR-15-R95900HX-32G1T-3080-WH	ASUS ROG Strix Scar 15 (2021) Gaming Laptop, 15.6” 300Hz IPS FHD, NVIDIA GeForce RTX 3080, AMD Ryzen 9 5900HX, 32GB DDR4, 1TB SSD, Opti-Mechanical Per-Key RGB Keyboard, Windows 10 Home, G533QS-DS98	B096VBDK9K	X0035G5FQB	UPC: 195553172653	New	No prep required	"--"	Merchant	1
LG-MON-32UN650-W	LG 32UN650-W Monitor 32" UHD (3840 x 2160) IPS Ultrafine Display, HDR10 Compatibility, DCI-P3 95% Color Gamut, AMD FreeSync, 3-Side Virtually Borderless Design, Height Adjustable Stand - Silve/White	B08FQ42MN1	X003591MAB	UPC: 719192641297	New	No prep required	"--"	Merchant	1
MSI-KYBD-VIGOR-GK50-LP-US	MSI Vigor GK50 Low Profile RGB Mechanical Gaming Keyboard, Kailh White Low Profile Switches, Brushed Aluminum Design, Ergonomic Keycap Design, RGB Mystic Light	B07ZLF8SHW	X002TCL1FV	UPC: 824142196076	New	No prep required	"--"	Merchant	25
