Shipment ID	FBA16NN6M018
Name	FBA (4/13/22, 1:11 PM) - 1
Plan ID	PLN4CX0FD3
Ship To	CMH2
Total SKUs	2
Total Units	14
shipment-total-cases	14

Merchant SKU	Title	ASIN	FNSKU	external-id 	Condition	Who will prep?	Prep Type	Who will label?	Units per case	Number of cases	Shipped
SAMSUNG-MON-S65UA-LS34A650UXNXGO	SAMSUNG 34” S65UA Series Computer Monitor, Ultrawide QHD Screen, HDR10, 100Hz, Curved, USB- C, Adjustable Stand, Intelligent Eye Care, LS34A650UXNXGO, Black	B08V71HXY3	X0037JOKTT	UPC: 887276507507	New	No prep required	"--"	Merchant	1	9	9
SAMSUNG-SOUNDBAR-HW-Q800AZA-LNO	SAMSUNG 3.1.2ch Q800A Q Series Soundbar - Dolby Atmos/DTS: X with Alexa Built-in (HW-Q800A, 2021 Model)	B08WZ63179	X0037JKZSJ	UPC: 887276524641	Used - Like New	No prep required	"--"	Merchant	1	5	5
