Shipment ID	FBA16NTQ8838
Name	04-18-2022 03-10-PM
Plan ID	
Ship To	IND2
Total SKUs	3
Total Units	21

Merchant SKU	Title	ASIN	FNSKU	external-id 	Condition	Who will prep?	Prep Type	Who will label?	Shipped
ACER-ASPIRE-TC-I510400-FC0A0-2	Acer Aspire TC-1660-UA92 Desktop | 10th Gen Intel Core i5-10400 6-Core Processor | 12GB 2666MHz DDR4 | 512GB NVMe M.2 SSD | 8X DVD | Intel Wireless Wi-Fi 6 | Bluetooth 5.2 | Windows 10 Home	B0983VYC6V	X0037PFW95	UPC: 195133110181	New	No prep required	"--"	Merchant	13
LG-GRAM-15-I51135G7-BC0-WP-32G		B09F4T68FZ	X0035PKJ6N		New	No prep required	"--"	Merchant	6
LG-MON-27GP750-B	LG 27GP750-B 27” Ultragear FHD (1920 x 1080) IPS Gaming Monitor w/ 1ms Response Time & 240Hz Refresh Rate, NVIDIA G-SYNC Compatible with AMD FreeSync Premium, Thin Bezel, Tilt/Height/Pivot Adjustable	B09D914618	X0037WSW59	UPC: 195174018903	New	No prep required	"--"	Merchant	2
