Shipment ID	FBA16NXDDZZQ
Name	04-20-2022 04-58-PM
Plan ID	
Ship To	DET1
Total SKUs	3
Total Units	3

Merchant SKU	Title	ASIN	FNSKU	external-id 	Condition	Who will prep?	Prep Type	Who will label?	Shipped
HP-VICTUS-16-I511400H-CD0AC-3050	HP Victus 16.1" FHD IPS Premium Gaming Laptop | 11th Generation Intel Core i5-11400H | 32GB RAM | 1TB SSD | NVIDIA GeForce RTX 3050 | Backlit Keyboard | Windows 11 | with USB3.0 HUB Bundle	B09NZWSVP6	X00376CJIL	UPC: 194721277596	New	No prep required	"--"	Merchant	1
LG-GRAM-16-I71165G7-16G512G-WH-SL	LG Gram 16Z90P-K Laptop 16” IPS WQXGA Intel Evo Platform Core i7-1165G7, 16GB Memory, 512GB M.2 NVMe SSD, Intel Iris Xe Graphics, Wi-Fi 6, Windows 11 Home, Alexa Built in, Backlit Keyboard, Silver	B09S3347W1	X0035E2H7X	UPC: 195174024942	New	No prep required	"--"	Merchant	1
LG-GRAM-16-I71165G7-BC0-WH-SL-2	LG Gram Ultra-Lightweight Laptop, 16" (2560 x 1600) IPS 16:10 Displa, Evo i7-1165G7, 16GB RAM, 512GB PCIe SSD, 22 Hr Battery Life, Thunderbolt 4, Wi-Fi 6, Free Upto Win 11 (i7 | 16" QHD | 16GB RAM)	B09KQZKBY3	X0035NPO5L	UPC: 195174790106	New	No prep required	"--"	Merchant	1
