Shipment ID	FBA16R353ZXQ
Name	06-06-2022 04-49-PM
Plan ID	
Ship To	ILG1
Total SKUs	3
Total Units	5

Merchant SKU	Title	ASIN	FNSKU	external-id 	Condition	Who will prep?	Prep Type	Who will label?	Shipped
LG-GRAM-15-I51135G7-16G512G-WH-LNO	LG Gram 15Z95N Laptop: Core i5-1135G7, 16GB RAM, 512GB SSD, 15.6" Full HD IPS Display, Backlit Keyboard, Windows 11	B09L8JYBL1	X00378BMHN	UPC: 195174024935	Used - Like New	No prep required	"--"	Merchant	1
LG-GRAM-16-I71165G7-16G512G-WH-SL-LNO	LG Gram 16Z90P-K Laptop 16” IPS WQXGA Intel Evo Platform Core i7-1165G7, 16GB Memory, 512GB M.2 NVMe SSD, Intel Iris Xe Graphics, Wi-Fi 6, Windows 11 Home, Alexa Built in, Backlit Keyboard, Silver	B09S3347W1	X0039VQQRJ	UPC: 195174024942	Used - Like New	No prep required	"--"	Merchant	1
NINJA-PROCESSOR-BN601-PRO-PLUS-SLV	Ninja BN601 Professional Plus Food Processor, 1000 Peak Watts, 4 Functions for Chopping, Slicing, Purees & Dough with 9-Cup Processor Bowl, 3 Blades, Food Chute & Pusher, Silver	B089TP3K77	X00393K2UT	UPC: 622356562508	New	No prep required	"--"	Merchant	3
